"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 07 01:15:46 GMT 2022","Wed Dec 07 01:15:53 GMT 2022","7440","","Valitadion for the website https://casinoscanada.com","","","","Show the result of filtering casinos",""
"passed","Wed Dec 07 01:15:36 GMT 2022","Wed Dec 07 01:15:37 GMT 2022","54","","Valitadion for the api https://reqres.in/api","","","","Should not return invalid information from the user",""
"passed","Wed Dec 07 01:15:44 GMT 2022","Wed Dec 07 01:15:46 GMT 2022","1297","","Valitadion for the website https://casinoscanada.com","","","","Should show a list of Top 10 casinos",""
"passed","Wed Dec 07 01:15:36 GMT 2022","Wed Dec 07 01:15:36 GMT 2022","147","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all users (example #1)",""
"passed","Wed Dec 07 01:15:36 GMT 2022","Wed Dec 07 01:15:36 GMT 2022","250","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all resources (example #2)",""
"passed","Wed Dec 07 01:15:41 GMT 2022","Wed Dec 07 01:15:44 GMT 2022","2847","","Valitadion for the website https://casinoscanada.com","","","","Open headers menu",""
"passed","Wed Dec 07 01:15:36 GMT 2022","Wed Dec 07 01:15:36 GMT 2022","62","","Valitadion for the api https://reqres.in/api","","","","Should return an existing user",""
