"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 06 21:16:37 GMT 2022","Tue Dec 06 21:16:37 GMT 2022","274","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all resources (example #2)",""
"passed","Tue Dec 06 21:16:36 GMT 2022","Tue Dec 06 21:16:37 GMT 2022","144","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all users (example #1)",""
"passed","Tue Dec 06 21:16:42 GMT 2022","Tue Dec 06 21:16:44 GMT 2022","2492","","Valitadion for the website https://casinoscanada.com","","","","Open headers menu",""
"passed","Tue Dec 06 21:16:45 GMT 2022","Tue Dec 06 21:16:54 GMT 2022","8911","","Valitadion for the website https://casinoscanada.com","","","","Show the result of filtering casinos",""
"passed","Tue Dec 06 21:16:44 GMT 2022","Tue Dec 06 21:16:45 GMT 2022","883","","Valitadion for the website https://casinoscanada.com","","","","Should show a list of Top 10 casinos",""
"passed","Tue Dec 06 21:16:37 GMT 2022","Tue Dec 06 21:16:37 GMT 2022","66","","Valitadion for the api https://reqres.in/api","","","","Should return an existing user",""
"passed","Tue Dec 06 21:16:37 GMT 2022","Tue Dec 06 21:16:37 GMT 2022","54","","Valitadion for the api https://reqres.in/api","","","","Should not return invalid information from the user",""
