"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 11 01:20:04 GMT 2022","Sun Dec 11 01:20:06 GMT 2022","2294","","Valitadion for the website https://casinoscanada.com","","","","Open headers menu",""
"passed","Sun Dec 11 01:19:58 GMT 2022","Sun Dec 11 01:19:59 GMT 2022","347","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all resources (example #2)",""
"passed","Sun Dec 11 01:19:58 GMT 2022","Sun Dec 11 01:19:58 GMT 2022","431","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all users (example #1)",""
"passed","Sun Dec 11 01:20:07 GMT 2022","Sun Dec 11 01:20:08 GMT 2022","1046","","Valitadion for the website https://casinoscanada.com","","","","Should show a list of Top 10 casinos",""
"passed","Sun Dec 11 01:20:08 GMT 2022","Sun Dec 11 01:20:15 GMT 2022","7660","","Valitadion for the website https://casinoscanada.com","","","","Show the result of filtering casinos",""
"passed","Sun Dec 11 01:19:59 GMT 2022","Sun Dec 11 01:19:59 GMT 2022","59","","Valitadion for the api https://reqres.in/api","","","","Should not return invalid information from the user",""
"passed","Sun Dec 11 01:19:59 GMT 2022","Sun Dec 11 01:19:59 GMT 2022","101","","Valitadion for the api https://reqres.in/api","","","","Should return an existing user",""
