"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 01:09:01 GMT 2022","Mon Dec 19 01:09:04 GMT 2022","3388","","Valitadion for the website https://casinoscanada.com","","","","Open headers menu",""
"passed","Mon Dec 19 01:08:55 GMT 2022","Mon Dec 19 01:08:55 GMT 2022","303","","Valitadion for the api https://reqres.in/api","","","","Should return an existing user",""
"passed","Mon Dec 19 01:08:55 GMT 2022","Mon Dec 19 01:08:56 GMT 2022","61","","Valitadion for the api https://reqres.in/api","","","","Should not return invalid information from the user",""
"passed","Mon Dec 19 01:08:55 GMT 2022","Mon Dec 19 01:08:55 GMT 2022","299","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all resources (example #2)",""
"passed","Mon Dec 19 01:09:04 GMT 2022","Mon Dec 19 01:09:06 GMT 2022","1271","","Valitadion for the website https://casinoscanada.com","","","","Should show a list of Top 10 casinos",""
"failed","Mon Dec 19 01:09:06 GMT 2022","Mon Dec 19 01:09:35 GMT 2022","29502","","Valitadion for the website https://casinoscanada.com","","","","Show the result of filtering casinos",""
"passed","Mon Dec 19 01:08:55 GMT 2022","Mon Dec 19 01:08:55 GMT 2022","234","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all users (example #1)",""
