"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 06 18:54:24 GMT 2022","Tue Dec 06 18:54:27 GMT 2022","2986","","Valitadion for the website https://casinoscanada.com","","","","Open headers menu",""
"passed","Tue Dec 06 18:54:28 GMT 2022","Tue Dec 06 18:54:35 GMT 2022","6784","","Valitadion for the website https://casinoscanada.com","","","","Show the result of filtering casinos",""
"passed","Tue Dec 06 18:54:27 GMT 2022","Tue Dec 06 18:54:28 GMT 2022","994","","Valitadion for the website https://casinoscanada.com","","","","Should show a list of Top 10 casinos",""
