"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 26 01:11:15 GMT 2022","Mon Dec 26 01:11:15 GMT 2022","354","","Valitadion for the api https://reqres.in/api","","","","Should return an existing user",""
"passed","Mon Dec 26 01:11:15 GMT 2022","Mon Dec 26 01:11:16 GMT 2022","41","","Valitadion for the api https://reqres.in/api","","","","Should not return invalid information from the user",""
"passed","Mon Dec 26 01:11:15 GMT 2022","Mon Dec 26 01:11:15 GMT 2022","373","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all resources (example #2)",""
"failed","Mon Dec 26 01:11:26 GMT 2022","Mon Dec 26 01:11:57 GMT 2022","31202","","Valitadion for the website https://casinoscanada.com","","","","Show the result of filtering casinos",""
"passed","Mon Dec 26 01:11:20 GMT 2022","Mon Dec 26 01:11:24 GMT 2022","3869","","Valitadion for the website https://casinoscanada.com","","","","Open headers menu",""
"passed","Mon Dec 26 01:11:24 GMT 2022","Mon Dec 26 01:11:26 GMT 2022","1461","","Valitadion for the website https://casinoscanada.com","","","","Should show a list of Top 10 casinos",""
"passed","Mon Dec 26 01:11:14 GMT 2022","Mon Dec 26 01:11:15 GMT 2022","532","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all users (example #1)",""
