"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Valitadion for the api https://reqres.in/api","","0","0","4","0","0"
"","Valitadion for the website https://casinoscanada.com","","1","0","2","0","0"
