"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 24 01:04:42 GMT 2022","Sat Dec 24 01:04:42 GMT 2022","451","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all users (example #1)",""
"failed","Sat Dec 24 01:04:58 GMT 2022","Sat Dec 24 01:05:02 GMT 2022","4772","","Valitadion for the website https://casinoscanada.com","","","","Show the result of filtering casinos",""
"passed","Sat Dec 24 01:04:43 GMT 2022","Sat Dec 24 01:04:43 GMT 2022","373","","Valitadion for the api https://reqres.in/api","","","","Should return an existing user",""
"passed","Sat Dec 24 01:04:56 GMT 2022","Sat Dec 24 01:04:57 GMT 2022","1836","","Valitadion for the website https://casinoscanada.com","","","","Should show a list of Top 10 casinos",""
"passed","Sat Dec 24 01:04:50 GMT 2022","Sat Dec 24 01:04:55 GMT 2022","5860","","Valitadion for the website https://casinoscanada.com","","","","Open headers menu",""
"passed","Sat Dec 24 01:04:42 GMT 2022","Sat Dec 24 01:04:43 GMT 2022","390","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all resources (example #2)",""
"passed","Sat Dec 24 01:04:43 GMT 2022","Sat Dec 24 01:04:43 GMT 2022","71","","Valitadion for the api https://reqres.in/api","","","","Should not return invalid information from the user",""
