"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 06 21:19:36 GMT 2022","Tue Dec 06 21:19:36 GMT 2022","58","","Valitadion for the api https://reqres.in/api","","","","Should not return invalid information from the user",""
"passed","Tue Dec 06 21:19:35 GMT 2022","Tue Dec 06 21:19:36 GMT 2022","292","","Valitadion for the api https://reqres.in/api","","","","Should return an existing user",""
"failed","Tue Dec 06 21:19:43 GMT 2022","Tue Dec 06 21:19:45 GMT 2022","1354","","Valitadion for the website https://casinoscanada.com","","","","Should show a list of Top 10 casinos",""
"passed","Tue Dec 06 21:19:45 GMT 2022","Tue Dec 06 21:19:54 GMT 2022","9408","","Valitadion for the website https://casinoscanada.com","","","","Show the result of filtering casinos",""
"passed","Tue Dec 06 21:19:35 GMT 2022","Tue Dec 06 21:19:35 GMT 2022","305","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all resources (example #2)",""
"passed","Tue Dec 06 21:19:41 GMT 2022","Tue Dec 06 21:19:43 GMT 2022","2583","","Valitadion for the website https://casinoscanada.com","","","","Open headers menu",""
"passed","Tue Dec 06 21:19:35 GMT 2022","Tue Dec 06 21:19:35 GMT 2022","248","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all users (example #1)",""
