"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 16 01:09:50 GMT 2022","Fri Dec 16 01:09:51 GMT 2022","276","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all resources (example #2)",""
"passed","Fri Dec 16 01:09:58 GMT 2022","Fri Dec 16 01:10:00 GMT 2022","2157","","Valitadion for the website https://casinoscanada.com","","","","Should show a list of Top 10 casinos",""
"passed","Fri Dec 16 01:09:51 GMT 2022","Fri Dec 16 01:09:51 GMT 2022","70","","Valitadion for the api https://reqres.in/api","","","","Should return an existing user",""
"passed","Fri Dec 16 01:09:51 GMT 2022","Fri Dec 16 01:09:51 GMT 2022","63","","Valitadion for the api https://reqres.in/api","","","","Should not return invalid information from the user",""
"passed","Fri Dec 16 01:09:56 GMT 2022","Fri Dec 16 01:09:58 GMT 2022","2073","","Valitadion for the website https://casinoscanada.com","","","","Open headers menu",""
"failed","Fri Dec 16 01:10:00 GMT 2022","Fri Dec 16 01:10:27 GMT 2022","27190","","Valitadion for the website https://casinoscanada.com","","","","Show the result of filtering casinos",""
"passed","Fri Dec 16 01:09:50 GMT 2022","Fri Dec 16 01:09:50 GMT 2022","241","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all users (example #1)",""
