"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 06 20:57:42 GMT 2022","Tue Dec 06 20:57:43 GMT 2022","54","","Valitadion for the api https://reqres.in/api","","","","Should not return invalid information from the user",""
"passed","Tue Dec 06 20:57:47 GMT 2022","Tue Dec 06 20:57:50 GMT 2022","3052","","Valitadion for the website https://casinoscanada.com","","","","Open headers menu",""
"passed","Tue Dec 06 20:57:42 GMT 2022","Tue Dec 06 20:57:42 GMT 2022","156","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all users (example #1)",""
"passed","Tue Dec 06 20:57:50 GMT 2022","Tue Dec 06 20:57:52 GMT 2022","1846","","Valitadion for the website https://casinoscanada.com","","","","Should show a list of Top 10 casinos",""
"passed","Tue Dec 06 20:57:42 GMT 2022","Tue Dec 06 20:57:42 GMT 2022","66","","Valitadion for the api https://reqres.in/api","","","","Should return an existing user",""
"passed","Tue Dec 06 20:57:53 GMT 2022","Tue Dec 06 20:58:01 GMT 2022","8130","","Valitadion for the website https://casinoscanada.com","","","","Show the result of filtering casinos",""
"passed","Tue Dec 06 20:57:42 GMT 2022","Tue Dec 06 20:57:42 GMT 2022","63","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all resources (example #2)",""
