"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 21 01:08:34 GMT 2022","Wed Dec 21 01:08:34 GMT 2022","373","","Valitadion for the api https://reqres.in/api","","","","Should return an existing user",""
"passed","Wed Dec 21 01:08:42 GMT 2022","Wed Dec 21 01:08:43 GMT 2022","1163","","Valitadion for the website https://casinoscanada.com","","","","Should show a list of Top 10 casinos",""
"failed","Wed Dec 21 01:08:44 GMT 2022","Wed Dec 21 01:09:12 GMT 2022","28834","","Valitadion for the website https://casinoscanada.com","","","","Show the result of filtering casinos",""
"passed","Wed Dec 21 01:08:33 GMT 2022","Wed Dec 21 01:08:34 GMT 2022","204","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all users (example #1)",""
"passed","Wed Dec 21 01:08:34 GMT 2022","Wed Dec 21 01:08:34 GMT 2022","359","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all resources (example #2)",""
"passed","Wed Dec 21 01:08:39 GMT 2022","Wed Dec 21 01:08:42 GMT 2022","3189","","Valitadion for the website https://casinoscanada.com","","","","Open headers menu",""
"passed","Wed Dec 21 01:08:34 GMT 2022","Wed Dec 21 01:08:34 GMT 2022","54","","Valitadion for the api https://reqres.in/api","","","","Should not return invalid information from the user",""
