"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 18 01:10:31 GMT 2022","Sun Dec 18 01:10:33 GMT 2022","2266","","Valitadion for the website https://casinoscanada.com","","","","Open headers menu",""
"passed","Sun Dec 18 01:10:34 GMT 2022","Sun Dec 18 01:10:35 GMT 2022","993","","Valitadion for the website https://casinoscanada.com","","","","Should show a list of Top 10 casinos",""
"passed","Sun Dec 18 01:10:26 GMT 2022","Sun Dec 18 01:10:26 GMT 2022","264","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all resources (example #2)",""
"passed","Sun Dec 18 01:10:25 GMT 2022","Sun Dec 18 01:10:26 GMT 2022","215","","Valitadion for the api https://reqres.in/api","","","","Should return a list with all users (example #1)",""
"failed","Sun Dec 18 01:10:35 GMT 2022","Sun Dec 18 01:11:04 GMT 2022","28743","","Valitadion for the website https://casinoscanada.com","","","","Show the result of filtering casinos",""
"passed","Sun Dec 18 01:10:26 GMT 2022","Sun Dec 18 01:10:26 GMT 2022","56","","Valitadion for the api https://reqres.in/api","","","","Should not return invalid information from the user",""
"passed","Sun Dec 18 01:10:26 GMT 2022","Sun Dec 18 01:10:26 GMT 2022","56","","Valitadion for the api https://reqres.in/api","","","","Should return an existing user",""
